Summary,Issue key,Issue id,Issue Type,Status,Project key,Project lead,Project lead id,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Affects versions,Fix versions,Components,Components,Description,Custom field (Development),Custom field (Email enabled),Comment,,Status Category,Status Category Changed
Preferences: prefs.css is not found on 24 & 23,SAK-49374,66898,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,kunaljaykam,5e414059ab90210c8de05bf0,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,10/16/2023 18:18,11/2/2023 12:49,8/8/2024 1:36,10/20/2023 9:06,23.1,25.0 [Tentative],,,Preferences,,"This may have been missed with the portal updates on 24 & 23 since the console error is not on 22. When loading Preferences > Sites, there is a console error:

{noformat}hidden:1047 
GET https://trunk-maria.nightly.sakaiproject.org/sakai-user-tool-prefs/css/prefs.css net::ERR_ABORTED 404 (Not Found){noformat}","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2023-10-20T09:06:26.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"20/Oct/23 3:56 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-49374 Preferences: prefs.css is not found on 24 & 23"", you can see it at https://github.com/sakaiproject/sakai/pull/12021",,Done,10/20/2023 9:06
"Create site from template with ""Continue with no roster"" ends up in stacktrace",SAK-49373,66897,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,Sam Ottenhoff,557058:48227012-f9a6-40a4-97e6-94c8ef57f33e,10/16/2023 16:08,12/7/2023 19:31,8/8/2024 1:36,10/18/2023 10:06,22,23,,25.0 [Tentative],Worksite Setup,,"sitemanage.continueWithNoRoster=true must be enabled

{noformat}caused by: java.lang.NullPointerException
    at org.sakaiproject.site.tool.SiteAction.getOrderedToolList(SiteAction.java:6255)
    at org.sakaiproject.site.tool.SiteAction.getTools(SiteAction.java:6186)
    at org.sakaiproject.site.tool.SiteAction.buildContextForTemplate(SiteAction.java:1798)
    at org.sakaiproject.site.tool.SiteAction.buildMainPanelContext(SiteAction.java:1398)
    at org.sakaiproject.site.tool.SiteAction.buildShortcutPanelContext(SiteAction.java:1323)
    at jdk.internal.reflect.GeneratedMethodAccessor7683.invoke(null:-1)
    at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
    at java.lang.reflect.Method.invoke(Method.java:566)
    at org.sakaiproject.cheftool.VelocityPortletPaneledAction.toolModeDispatch(VelocityPortletPaneledAction.java:409)
    at org.sakaiproject.site.tool.SiteAction.toolModeDispatch(SiteAction.java:14934)
    at org.sakaiproject.cheftool.ToolServlet.doGet(ToolServlet.java:234)
    at org.sakaiproject.cheftool.VelocityPortletPaneledAction.doGet(VelocityPortletPaneledAction.java:1098)
    at javax.servlet.http.HttpServlet.service(HttpServlet.java:670)
    at org.sakaiproject.vm.ComponentServlet.service(ComponentServlet.java:56)
    at javax.servlet.http.HttpServlet.service(HttpServlet.java:779)
    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:227)
    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
    at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:447)
    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
    at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:711)
    at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:459)
    at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:353)
    at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:313)
    at org.sakaiproject.tool.impl.ActiveToolComponent$MyActiveTool.forward(ActiveToolComponent.java:508)
    at org.sakaiproject.portal.charon.SkinnableCharonPortal.forwardTool(SkinnableCharonPortal.java:1502)
    at org.sakaiproject.portal.charon.handlers.ToolHandler.doTool(ToolHandler.java:200)
    at org.sakaiproject.portal.charon.handlers.ToolHandler.doGet(ToolHandler.java:96)
    at org.sakaiproject.portal.charon.SkinnableCharonPortal.doGet(SkinnableCharonPortal.java:861)
    at javax.servlet.http.HttpServlet.service(HttpServlet.java:670)
    at javax.servlet.http.HttpServlet.service(HttpServlet.java:779)
    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:227)
    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
    at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:496)
    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189){noformat}","{repository={count=4, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":4,""lastUpdated"":""2023-10-18T10:23:08.000-0400"",""dataType"":""repository""},""byInstanceType"":{""GitIntegrationforJirabyGitKraken"":{""count"":3,""name"":""Git Integration for Jira by GitKraken""},""GitHub"":{""count"":4,""name"":""GitHub""}}}}},""isStale"":true}}",,"16/Oct/23 4:10 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-49373 if using a template site, need to skip the tool list page"", you can see it at https://github.com/sakaiproject/sakai/pull/12004",,Done,10/18/2023 10:06
Discussions: accessing Notifications (dfWatchSettings) with direct link does not keep default settings,SAK-49372,66896,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Minor,,,,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,10/15/2023 12:14,1/11/2024 11:31,8/8/2024 1:36,,22.4,23.1,25.0 [Tentative],,Forums Tool,,"Testing [https://sakaiproject.atlassian.net/browse/SAK-49351|https://sakaiproject.atlassian.net/browse/SAK-49351|smart-link] , the missing key issue is resolved, but the default settings for notifications are not kept in this case. Once 49351 is merged to the other servers, they will have this issue also.",{},,,,To Do,10/15/2023 12:14
Rubrics-Grader-Assignment: There is a remove {} link when grading rubrics in assignments - {} braces should not show and there shouldn't even be a remove link when not graded,SAK-49371,66895,Bug,In Progress,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Earle Nietzel,557058:d4bf1967-6188-4b29-bf4a-95cf874b4a08,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,10/15/2023 11:33,10/18/2023 5:25,8/8/2024 1:36,,23.1,25.0 [Tentative],,,Assignments,Rubrics,"This does not happen every time, but seems to happen after a student has been graded, affecting other student grading screens even if not graded. If a student without a submission is graded, the “Remove {color:#bf2600}*{}*{color}” link shows immediately after clicking Done.

Win10: Chrome, Edge, Firefox

When the instructor has graded a student using a rubric a “Remove {color:#bf2600}*{}*{color}” link appears beside the rubric icon with the curly braces. ",{},,"18/Oct/23 5:25 AM;557058:5489bdf1-0dcd-4429-8030-f007c405dfd0;I’ve put a PR in for this, but that PR only fixed the braces on the remove label. The other parts of this ticket I could not reproduce, so maybe something else fixed it in master. I’ll take a look at the commits now.",,In Progress,10/18/2023 5:24
"Assignments-Grader-Rubrics: Adding a comment has the pop-up too far to the right, Done button is cut off",SAK-49370,66894,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Blocker,Fixed,Adrian Fish,557058:5489bdf1-0dcd-4429-8030-f007c405dfd0,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,10/15/2023 11:12,4/24/2024 12:57,8/8/2024 1:36,10/31/2023 10:28,23.1,25.0 [Tentative],,,Assignments,Rubrics,"When grading a rubric in assignments using the Sakai Grader, when adding a comment the pop-up window is too far to the right, hiding the Done button.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2023-10-31T10:28:44.000-0400"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}}}},""isStale"":true}}",,"18/Oct/23 11:43 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-49370 rubric. Move criterion comment to modal"", you can see it at https://github.com/sakaiproject/sakai/pull/12012",,Done,10/31/2023 10:28
Assignments-Peer Reviews-Rubrics: Students are able to see how peers have graded them when they grade a peer review,SAK-49369,66893,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Bernardo Garcia Vila,557058:b7f26689-4872-49f3-9655-910bea8a4c71,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,10/13/2023 19:00,8/1/2024 6:17,8/8/2024 1:36,,25.0 [Tentative],,,,Assignments,Rubrics,"Testing [https://sakaiproject.atlassian.net/browse/S2U-34|https://sakaiproject.atlassian.net/browse/S2U-34|smart-link] on trunk. For peer reviews, if a student has already been reviewed, they can see the grade their peer(s) assigned using the drop-down for Student Summary or Criteria Summary.

This is related to the other ticket filed: [https://sakaiproject.atlassian.net/browse/SAK-49367|https://sakaiproject.atlassian.net/browse/SAK-49367|smart-link] If there is a reason why a student should have those options, (which I wouldn’t think they should), then this needs to be fixed so they cannot see peer grading before the instructor has released the assignment. 

There is another case that needs to be corrected: the self-review section for the instructor using the old grader should probably not show the Summary tabs.",{},,17/Oct/23 2:23 AM;557058:b7f26689-4872-49f3-9655-910bea8a4c71;There is another case that needs to be corrected: the self-review section for the instructor using the old grader should probably not show the Summary tabs. The same fix will probably solve this case plus the [https://sakaiproject.atlassian.net/browse/SAK-49367|https://sakaiproject.atlassian.net/browse/SAK-49367|smart-link] one.,,To Do,10/13/2023 19:00
Assignments > Self-report: Instructor unable to view the graded rubric (new grader),SAK-49368,66892,Feature Request,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Bernardo Garcia Vila,557058:b7f26689-4872-49f3-9655-910bea8a4c71,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,10/13/2023 18:00,10/20/2023 2:41,8/8/2024 1:36,,25.0 [Tentative],,,,Assignments,Rubrics,"Testing [https://sakaiproject.atlassian.net/browse/S2U-34|https://sakaiproject.atlassian.net/browse/S2U-34|smart-link] since it is on trunk. I created an assignment with a rubric and allowing students to self-report. After a couple of students graded their own assignments and submitted, the instructor graded. 

Using the Sakai Grader, the “graded” rubric does not display the score the students set for themselves or have the selected cells highlighted. There are some console errors but I believe they are related to rubrics and don’t have anything to do with this feature.

If the instructor selects Student Summary or Criteria Summary from the drop-down, they are able to see the scores the students assigned to themselves. 

Since this has been merged to trunk, I would expect the instructor to be able to use the Sakai Grader.

Using the classic grader, the instructor does see the student’s self-graded rubric and is able to grade the instructor’s rubric. Verified the student sees both rubrics on the released assignment.",{},,19/Oct/23 11:25 AM;5eb012f0b882f90bae453e0f;[~accountid:557058:b7f26689-4872-49f3-9655-910bea8a4c71] Shall we move this into a feature request?,,To Do,10/13/2023 18:00
Assignments: Self-report rubric is displaying options the student shouldn't have,SAK-49367,66891,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Duplicate,Bernardo Garcia Vila,557058:b7f26689-4872-49f3-9655-910bea8a4c71,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,10/13/2023 17:38,8/1/2024 6:16,8/8/2024 1:36,10/19/2023 11:24,25.0 [Tentative],,,,Assignments,Rubrics,"Testing [https://sakaiproject.atlassian.net/browse/S2U-34|https://sakaiproject.atlassian.net/browse/S2U-34|smart-link] since it is on trunk,

Assignments now have the option to allow students to self-report with a rubric. When the student opens the assignment, the rubric has a drop-down with the following options: Grading Rubric, Student Summary and Criteria Summary. I do not believe student’s should have a drop-down, they should just be able to grade their own rubric.

After submitting the assignments and reopening it, the rubric displays with 3 tabs:  Grading Rubric, Student Summary and Criteria Summary. Clicking on Student Summary or Criteria Summary displays “No students have been evaluated yet.” Clicking the Grading Rubric tab no longer displays the rubric. I do not think the students should have the Student Summary and Criteria Summary tabs.",{},,"17/Oct/23 2:21 AM;557058:b7f26689-4872-49f3-9655-910bea8a4c71;This will probably be incorporated by [https://sakaiproject.atlassian.net/browse/SAK-49369|https://sakaiproject.atlassian.net/browse/SAK-49369|smart-link], leaving it open for the moment just in case",,Done,10/19/2023 11:24
Allow DASHBOARD to be an importable tool with it's content and settings,SAK-49366,66890,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Adrian Fish,557058:5489bdf1-0dcd-4429-8030-f007c405dfd0,Dave Eveland,70121:dc225bf0-653d-431b-9fde-49f2103d9461,10/13/2023 17:08,10/18/2023 12:38,8/8/2024 1:36,,22.3,23,25.0 [Tentative],,Dashboard,Site Info,"!Screenshot 2023-10-13 at 4.57.44 PM.png|width=1511,height=838!

With the change in Dashboard from a stealth tool, institutions using the Import/Replace process to pull content in from other course sites must copy and paste the content directly from the originating site to the new site as well as modify the Layout settings in the new site.",{},,"18/Oct/23 12:03 PM;557058:89b0bd66-0f67-42a4-b388-c7dbb7ceaa2d;T&L/UX discussed this issue on our 10/18/2023 call, and we all heartily agreed that Dashboard should import during Site Import. If we want folks to use the tool, we need to make it easier for them to roll over courses each term without having to recreate or reconfigure content.",,To Do,10/13/2023 17:08
Logo incorrect on xlogin page with custom skin,SAK-49365,66889,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,,,Kenneth Aragon,557058:e7a581dc-5f7e-491b-bb96-019cf349d01b,10/13/2023 16:49,11/4/2023 9:54,8/8/2024 1:36,10/13/2023 17:32,23.1,25.0 [Tentative],,,Login,,"When creating a custom skin, the logo on the xlogin page uses the default sakai logo. ","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2023-10-13T17:32:01.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"13/Oct/23 5:05 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-49365 - Logo incorrect on xlogin page with custom skin"", you can see it at https://github.com/sakaiproject/sakai/pull/11997",,Done,10/13/2023 17:32
Lessons: Cannot reorder items when some items have null sakaiId,SAK-49364,66888,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Blocker,Fixed,Miguel Pellicer,5eb012f0b882f90bae453e0f,Miguel Pellicer,5eb012f0b882f90bae453e0f,10/13/2023 8:38,11/22/2023 14:34,8/8/2024 1:36,10/13/2023 11:28,22.3,,,25.0 [Tentative],Lessons,,"We’ve witnessed some lessons than can’t be reordered because items have a null sakaiId.

{noformat}13-oct.-2023 13:51:52.859 INFO [pool-3-thread-1] o.s.a.i.DbAuthzGroupService.run RefreshAuthzGroupTask.run() refreshed 2 realms in 0.313 seconds, longest realm was /site/GRA_12272_2023 at 0.308 seconds
13-oct.-2023 13:52:11.205 WARN [ajp-nio-0.0.0.0-8681-exec-6] PonderUtilCore.handleLevel1Error Exception rendering view:
java.lang.NullPointerException: null
        at org.sakaiproject.lessonbuildertool.tool.producers.ReorderProducer.getImageSourceDecoratorFromMimeType(ReorderProducer.java:415) ~[classes/:?]
        at org.sakaiproject.lessonbuildertool.tool.producers.ReorderProducer.getImageSourceDecorator(ReorderProducer.java:381) ~[classes/:?]
        at org.sakaiproject.lessonbuildertool.tool.producers.ReorderProducer.fillComponents(ReorderProducer.java:210) ~[classes/:?]
        at uk.org.ponder.rsf.view.support.ViewCollector.fillComponents(ViewCollector.java:56) ~[rsf-core-1.3.jar:?]
        at uk.org.ponder.rsf.view.support.LayoutCollector.fillComponents(LayoutCollector.java:68) ~[rsf-core-1.3.jar:?]
 {noformat}

After handling the null value correctly they work fine.

Sorry I don’t have more data about the issue, but it’s worth fixing it than leaving it opened.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2023-10-13T11:28:36.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"13/Oct/23 8:45 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-49364 Lessons: Cannot reorder items when some items have null sak…"", you can see it at https://github.com/sakaiproject/sakai/pull/11995",,Done,10/13/2023 11:28
Update Lombok 1.18.30,SAK-49363,66887,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Minor,Fixed,David Horwitz,557058:e67144fb-5a8e-4eca-b536-d02ecff9f6cc,David Horwitz,557058:e67144fb-5a8e-4eca-b536-d02ecff9f6cc,10/13/2023 8:24,7/25/2024 23:39,8/8/2024 1:36,10/13/2023 8:57,20.5,,,,Master,,"h3. v1.18.30 (September 20th, 2023)

* PLATFORM: Initial JDK21 support added. [Issue #3393|https://github.com/projectlombok/lombok/issues/3393].
* BUGFIX: Any {{@Helper}} class directly in a method (and not nested more deeply) wouldn't work. [Issue #3370|https://github.com/projectlombok/lombok/issues/3370].
* BUGFIX: If using the module system and lombok is on the runtime classpath (shouldn't be, but happens), you'd get a split package error: {{Package org.objectweb.asm in both module lombok and module org.objectweb.asm}}. [Issue #3474|https://github.com/projectlombok/lombok/issues/3474]
* BUGFIX: Lombok wasn't properly copying the annotations it should be copying when generating methods in {{record}}s. [Issue #3315|https://github.com/projectlombok/lombok/issues/3315].
* BUGFIX: Delomboking anything with {{@lombok.Singular}} in it wouldn't remove that annotation. [Issue #1377|https://github.com/projectlombok/lombok/issues/1377].
* BUGFIX: Calling extension methods such that automatic widening is applied (i.e. calling {{void ext(long arg)}} with an {{int}}) would fail at runtime. [Issue #3463|https://github.com/projectlombok/lombok/issues/3463].
* BUGFIX: Extension methods can now be used in records. [Issue #3450|https://github.com/projectlombok/lombok/issues/3450].
* BUGFIX: {{@Getter(lazy=true)}} with complicated initialization expressions would fail on javac. [Issue #3314|https://github.com/projectlombok/lombok/issues/3314].
* BUGFIX: Using the maven surefire plugin with a {{module-info.java}} based project would fail with a {{SurefireBooterForkException}}. [Issue #3474|https://github.com/projectlombok/lombok/issues/3474].","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2023-10-13T08:56:58.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"13/Oct/23 8:28 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-49363 Update Lombok 1.18.30"", you can see it at https://github.com/sakaiproject/sakai/pull/11994",,Done,10/13/2023 8:57
Update UnboundID LDAP SDK for Java 6.0.10,SAK-49362,66886,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,David Horwitz,557058:e67144fb-5a8e-4eca-b536-d02ecff9f6cc,David Horwitz,557058:e67144fb-5a8e-4eca-b536-d02ecff9f6cc,10/13/2023 8:16,7/25/2024 23:39,8/8/2024 1:36,10/13/2023 8:56,20.5,,,,Providers,,"h1. UnboundID LDAP SDK for Java 6.0.10

[Latest|https://github.com/pingidentity/ldapsdk/releases/latest]

Compare

!12702251?s=40&v=4|width=40,height=40,alt=""@dirmgr""!

[dirmgr|https://github.com/dirmgr] released this 3 weeks ago

· [2 commits |https://github.com/pingidentity/ldapsdk/compare/6.0.10...master]to master since this release

[6.0.10|https://github.com/pingidentity/ldapsdk/tree/6.0.10]

{{51b3c7f}}

We have just released version 6.0.10 of the [UnboundID LDAP SDK for Java|https://github.com/pingidentity/ldapsdk]. It is available for download from [GitHub|https://github.com/pingidentity/ldapsdk/releases] and [SourceForge|https://sourceforge.net/projects/ldap-sdk/files/], and it is available in the [Maven Central Repository|https://central.sonatype.com/artifact/com.unboundid/unboundid-ldapsdk/6.0.10]. You can find the release notes for the 6.0.10 release (and all previous versions) at [https://docs.ldap.com/ldap-sdk/docs/release-notes.html|https://docs.ldap.com/ldap-sdk/docs/release-notes.html|smart-link] , but here’s a summary of the changes:

* We added a new {{ReusableReferralConnector}} interface that makes it possible to create referral connectors that can be reused for following multiple referrals. We’ve added a new {{PooledReferralConnector}} implementation that uses connection pools for improved performance when following multiple referrals.
* We fixed an issue in which the {{parallel-update}} tool could write malformed data to the reject log file when multiple write operations were rejected concurrently.
* We added a {{PLAINBindRequest.encodeCredentials}} method that can be used to retrieve the encoded credentials for a SASL PLAIN bind request.
* We added {{JSONNumber.getValueAsInteger}} and {{getValueAsLong}} methods that will return the value of a JSON number as an {{Integer}} or {{Long}}, but only if the conversion can be made losslessly. The methods will return {{null}} if the value is a floating-point number, or if the value is outside the supported range for the data type.
* We added a {{StaticUtils.getBacktrace}} method that can be used to retrieve a compact, single-line string representation of a stack trace representing the code location from which the method was called.
* We added support for a new Ping-proprietary “access log field” request control, which can be used to indicate that the server should include a specified set of name-value pairs in the access log message for the associated operation. We also updated the {{ldapsearch}} and {{ldapmodify}} tools to add a new {{--accessLogField}} argument to include this control in requests.
* We added support for a new Ping-proprietary “generate access token” request control that can be included in a bind request to indicate that the server should include an access token in a corresponding response control included in the response to a successful bind operation. That access token can be used to authenticate to the Ping Identity Directory Server with the OAUTHBEARER SASL mechanism. This may be especially useful when initially authenticating to the Directory Server with a mechanism that relies on single-use credentials (e.g., UNBOUNDID-TOTP, UNBOUNDID-DELIVERED-OTP, or UNBOUNDID-YUBIKEY-OTP) because it allows you to establish multiple connections (e.g., using a connection pool or to replace connections that are no longer valid). We also updated the {{ldapsearch}} and {{ldapmodify}} tools to add a new {{--generateAccessToken}} argument to request that the server return an access token in the bind response.
* We updated support for the {{ds-pwp-state-json}} virtual attribute to include the {{has-password-encoded-with-non-current-settings}} field, which may indicate whether the user has a password that is encoded with settings that are different from the current configuration for the associated password storage scheme, and the {{non-current-password-storage-scheme-settings-explanations}} field, which may explain the ways in which the password encoding differs from the current configuration.
* We updated the documentation to include the latest versions of draft-ietf-kitten-scram-2fa, draft-melnikov-scram-bis, and draft-melnikov-scram-sha3-512 in the set of LDAP-related specifications.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2023-10-13T08:56:36.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"13/Oct/23 8:22 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-49362 Update UnboundID LDAP SDK for Java 6.0.10"", you can see it at https://github.com/sakaiproject/sakai/pull/11993",,Done,10/13/2023 8:56
Assignments: Sites with long siteIds cannot be assigned to groups.,SAK-49361,66885,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Critical,,Earle Nietzel,557058:d4bf1967-6188-4b29-bf4a-95cf874b4a08,Miguel Pellicer,5eb012f0b882f90bae453e0f,10/13/2023 7:03,10/31/2023 10:45,8/8/2024 1:36,,22.3,23.1,25.0 [Tentative],,Assignments,,"If the siteId is long you cannot assign assignments to groups, this happened in one of our instances.

The siteId in this case was ‘ICDA2-AR-ANALISIS_Y_EVALUACION_DE_INVERSIONES-2023-2’.

This is the error shown in the logs.

{noformat}Caused by: com.mysql.jdbc.MysqlDataTruncation: Data truncation: Data too long for column 'GROUP_ID' at row 1
	at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:3974) ~[mysql-connector-java-5.1.46.jar:5.1.46]
	at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:3912) ~[mysql-connector-java-5.1.46.jar:5.1.46]
	at com.mysql.jdbc.MysqlIO.sendCommand(MysqlIO.java:2530) ~[mysql-connector-java-5.1.46.jar:5.1.46]
	at com.mysql.jdbc.ServerPreparedStatement.serverExecute(ServerPreparedStatement.java:1283) ~[mysql-connector-java-5.1.46.jar:5.1.46]
	at com.mysql.jdbc.ServerPreparedStatement.executeInternal(ServerPreparedStatement.java:783) ~[mysql-connector-java-5.1.46.jar:5.1.46]
	at com.mysql.jdbc.PreparedStatement.executeUpdateInternal(PreparedStatement.java:2079) ~[mysql-connector-java-5.1.46.jar:5.1.46]
	at com.mysql.jdbc.PreparedStatement.executeUpdateInternal(PreparedStatement.java:2013) ~[mysql-connector-java-5.1.46.jar:5.1.46]
	at com.mysql.jdbc.PreparedStatement.executeLargeUpdate(PreparedStatement.java:5104) ~[mysql-connector-java-5.1.46.jar:5.1.46]
	at com.mysql.jdbc.PreparedStatement.executeUpdate(PreparedStatement.java:1998) ~[mysql-connector-java-5.1.46.jar:5.1.46]
	at com.zaxxer.hikari.pool.ProxyPreparedStatement.executeUpdate(ProxyPreparedStatement.java:61) ~[HikariCP-4.0.3.jar:?]{noformat}

Leaves the assignment in an unconsistent status and the groups locked.

!image-20231013-110144.png|width=1702,height=398!



!image-20231013-110105.png|width=1463,height=290!",{},,"17/Oct/23 8:06 AM;70121:edd71bdf-212f-4544-92f7-2fc8fb688af3;I was also able to reproduce this on Trunk. [https://trunk-maria.nightly.sakaiproject.org/,|https://trunk-maria.nightly.sakaiproject.org/,] build bf52c253. Updated affected versions",,To Do,10/13/2023 7:03
